OverallQual,TotalBsmtSF,GarageArea,2ndFlrSF
9,1822,272.33944793030395,0.0
5,894,128.36668202088254,0.0
5,876,169.2409734365902,0.0
8,1568,295.9159317741006,0.0
7,1541,291.97027365354,0.0
7,1221,158.93158533722357,0.0
6,1088,171.7956554807055,0.0
7,696,185.69613549229396,720.0
4,462,124.60553169850616,462.0
6,735,171.7956554807055,349.0
7,746,157.95733452442175,896.0
6,1362,178.1448165990542,0.0
6,756,172.43296361042684,788.0
6,1367,175.29422010417184,0.0
5,924,199.3618819720111,0.0
5,1360,217.65971512952422,0.0
7,728,158.93158533722357,728.0
7,1188,189.75705223956993,0.0
5,0,228.76796020710245,0.0
6,612,199.3618819720111,612.0
7,952,180.66993069459858,752.0
5,861,153.71950179144716,406.0
5,803,124.60553169850616,557.0
6,848,165.3922700211472,0.0
8,1482,265.1470498149041,780.0
4,836,157.6322787476711,0.0
7,1375,158.2822372450688,0.0
6,735,157.6322787476711,924.0
6,901,0.0,110.0
8,1501,190.380033734938,0.0
6,1012,128.36668202088254,0.0
7,824,242.70292012563587,998.0
5,360,242.70292012563587,0.0
7,1057,236.2036874515326,872.0
5,911,214.02924554988317,0.0
9,1838,269.7552676884352,0.0
6,1296,314.6358138309852,0.0
5,1148,242.70292012563587,0.0
5,950,118.74104314640908,0.0
8,777,181.61476145345424,846.0
6,1065,171.7956554807055,720.0
7,1316,171.7956554807055,0.0
6,1442,225.77817065107863,0.0
5,1078,190.69134924732774,0.0
4,1040,204.27768062123081,0.0
8,408,199.05372684431,640.0
7,651,104.66894382493047,682.0
5,1056,118.74104314640908,0.0
9,1792,300.69091050801245,0.0
6,1216,159.58032663769654,0.0
7,596,214.02924554988317,764.0
7,847,169.88046730242576,1112.0
6,1208,204.89023907447597,0.0
5,874,130.74704834643265,650.0
4,796,104.66894382493047,358.0
5,0,165.3922700211472,0.0
5,190,116.3070782607014,0.0
5,943,221.27634575049723,0.0
7,866,222.17837976803852,902.0
9,1393,273.77267065882165,1177.0
5,912,117.00367373524729,0.0
5,0,128.36668202088254,0.0
6,1405,194.10819390653978,0.0
10,2076,293.94462360950536,0.0
8,1318,266.0124831533429,1203.0
5,731,104.66894382493047,787.0
8,1573,202.43746883524975,0.0
6,1444,155.3525639523848,700.0
10,1237,302.37203210517214,0.0
6,585,183.50105640624426,728.0
7,1525,203.35805204235737,0.0
8,1571,257.3285618988324,0.0
5,796,0.0,0.0
5,994,169.2409734365902,994.0
7,384,159.58032663769654,670.0
4,648,147.14681671085523,0.0
